Country,Total Cases,Population,"Confirmed Case per 10,000 population"
USA,"104,196,861","334,805,269",3112.163118
India,"44,682,784","1,406,631,776",317.6580023
France,"39,524,311","65,584,518",6026.469692
Germany,"37,779,833","83,883,596",4503.840417
Brazil,"36,824,580","215,353,593",1709.958933
Japan,"32,588,442","125,584,838",2594.93443
S. Korea,"30,197,066","51,329,899",5882.938909
Italy,"25,453,789","60,262,770",4223.800034
UK,"24,274,361","68,497,907",3543.810616
Russia,"21,958,696","145,805,947",1506.021973
Turkey,"17,042,722","85,561,976",1991.85699
Spain,"13,731,478","46,719,142",2939.154576
Vietnam,"11,526,508","98,953,541",1164.840377
Australia,"11,295,446","26,068,792",4332.93802
Argentina,"10,037,135","46,010,234",2181.500533
Taiwan,"9,569,611","23,888,595",4005.932957
Netherlands,"8,582,500","17,211,447",4986.506945
Iran,"7,564,350","86,022,837",879.3420752
Mexico,"7,368,252","131,562,772",560.0560013
Indonesia,"6,730,289","279,134,505",241.1127567
Poland,"6,380,225","37,739,785",1690.583293
Colombia,"6,356,309","51,512,762",1233.928982
Austria,"5,780,229","9,066,710",6375.222104
Greece,"5,708,301","10,316,637",5533.102502
Portugal,"5,563,907","10,140,570",5486.779343
Ukraine,"5,370,131","43,192,122",1243.312611
Chile,"5,118,981","19,250,195",2659.183972
Malaysia,"5,036,593","33,181,072",1517.911477
Israel,"4,786,189","9,326,000",5132.092001
DPRK,"4,772,813","25,990,679",1836.355641
Thailand,"4,726,984","70,078,203",674.5298535
Belgium,"4,691,499","11,668,278",4020.729537
Czechia,"4,590,019","10,736,784",4275.040832
Canada,"4,550,256","38,388,419",1185.319979
Peru,"4,481,621","33,684,208",1330.481334
Switzerland,"4,385,701","8,773,637",4998.726298
Philippines,"4,073,454","112,508,994",362.0558548
South Africa,"4,055,966","60,756,135",667.5813068
Romania,"3,325,006","19,031,335",1747.121786
Denmark,"3,173,247","5,834,950",5438.344802
Hong Kong,"2,877,280","7,604,299",3783.754426
Sweden,"2,693,458","10,218,971",2635.742875
Serbia,"2,471,198","8,653,016",2855.880539
Iraq,"2,465,545","42,164,965",584.7378268
Singapore,"2,217,110","5,943,546",3730.281552
Hungary,"2,192,447","9,606,259",2282.310939
New Zealand,"2,182,355","4,898,203",4455.419671
Bangladesh,"2,037,556","167,885,689",121.3656752
Slovakia,"1,860,893","5,460,193",3408.108468
Georgia,"1,814,180","3,968,738",4571.176026
Jordan,"1,746,997","10,300,869",1695.970505
Ireland,"1,700,253","5,020,199",3386.823909
Pakistan,"1,576,313","229,488,994",68.68795634
Norway,"1,477,856","5,511,370",2681.467584
Finland,"1,458,619","5,554,960",2625.795685
Kazakhstan,"1,405,917","19,205,043",732.0561584
Slovenia,"1,321,852","2,078,034",6361.070127
Lithuania,"1,296,865","2,661,708",4872.303799
Bulgaria,"1,295,426","6,844,597",1892.625672
Morocco,"1,272,240","37,772,756",336.8141843
Croatia,"1,267,580","4,059,286",3122.667385
Lebanon,"1,228,639","6,684,849",1837.945779
Guatemala,"1,227,853","18,584,039",660.7029828
Bolivia,"1,187,986","11,992,656",990.5945772
Costa Rica,"1,186,176","5,182,354",2288.874901
Tunisia,"1,150,356","12,046,656",954.9172816
Cuba,"1,112,438","11,305,652",983.9662498
Ecuador,"1,051,239","18,113,361",580.3666145
UAE,"1,049,409","10,081,785",1040.896032
Uruguay,"1,032,710","3,496,016",2953.962453
Panama,"1,029,701","4,446,964",2315.514585
Mongolia,"1,007,871","3,378,078",2983.563435
Nepal,"1,001,102","30,225,582",331.210165
Belarus,"994,037","9,432,800",1053.809049
Latvia,"975,355","1,848,837",5275.505629
Saudi Arabia,"827,962","35,844,909",230.9845451
Azerbaijan,"827,944","10,300,205",803.813128
Paraguay,"806,256","7,305,843",1103.576959
Bahrain,"700,452","1,783,983",3926.337863
Sri Lanka,"671,989","21,575,842",311.4543571
Kuwait,"662,858","4,380,326",1513.261798
Dominican Republic,"660,095","11,056,370",597.0268723
Cyprus,"642,663","1,223,387",5253.14557
Myanmar,"633,820","55,227,143",114.7660309
Palestine,"621,008","5,345,541",1161.730871
Estonia,"613,891","1,321,910",4643.96971
Moldova,"598,673","4,013,171",1491.770473
Venezuela,"551,587","29,266,991",188.4672736
Egypt,"515,645","106,156,692",48.57395142
Libya,"507,162","7,040,745",720.3243407
China,"503,302","1,400,000,000",3.595014286
Ethiopia,"499,531","120,812,698",41.34755769
Qatar,"492,534","2,979,915",1652.845803
Réunion,"485,895","908,061",5350.907043
Honduras,"470,757","10,221,247",460.5670913
Armenia,"446,008","2,971,966",1500.717034
Bosnia and Herzegovina,"401,384","3,249,317",1235.287293
Oman,"399,449","5,323,993",750.2808512
North Macedonia,"346,428","2,081,304",1664.475733
Kenya,"342,810","56,215,221",60.98170458
Zambia,"340,763","19,470,234",175.0174138
Albania,"334,167","2,866,374",1165.817859
Botswana,"329,227","2,441,162",1348.648717
Luxembourg,"297,757","642,371",4635.280858
Montenegro,"286,355","627,950",4560.156063
Brunei,"275,220","445,431",6178.734754
Algeria,"271,378","45,350,148",59.84059854
Nigeria,"266,463","216,746,934",12.29373791
Zimbabwe,"261,606","15,331,428",170.6338118
Uzbekistan,"250,567","34,382,084",72.87719965
Mozambique,"231,994","33,089,461",70.11114506
Martinique,"229,687","374,087",6139.935363
Laos,"217,973","7,481,023",291.3679052
Iceland,"208,688","345,393",6042.044859
Afghanistan,"208,545","40,754,388",51.17117695
Kyrgyzstan,"206,592","6,728,271",307.0506524
El Salvador,"201,785","6,550,389",308.0504074
Guadeloupe,"201,394","399,794",5037.444284
Trinidad and Tobago,"187,908","1,406,585",1335.916422
Maldives,"185,715","540,985",3432.904794
Ghana,"171,112","32,395,450",52.81976327
Namibia,"170,741","2,633,874",648.2504478
Uganda,"170,400","48,432,863",35.18272294
Jamaica,"153,407","2,985,094",513.9101147
Cambodia,"138,693","17,168,639",80.78275745
Rwanda,"133,090","13,600,464",97.85695547
Cameroon,"123,993","27,911,548",44.42354827
Malta,"117,062","444,033",2636.335588
Barbados,"106,157","288,023",3685.712599
Angola,"105,184","35,027,343",30.02911183
Channel Islands,"101,116","176,463",5730.153063
French Guiana,"98,028","314,169",3120.231468
DRC,"95,514","95,240,792",10.02868603
Senegal,"88,902","17,653,671",50.35893101
Malawi,"88,559","20,180,839",43.88271469
Ivory Coast,"87,982","27,742,298",31.71402744
Suriname,"82,020","596,831",1374.258375
New Caledonia,"79,845","290,915",2744.616125
French Polynesia,"77,957","284,164",2743.380583
Eswatini,"74,133","1,184,817",625.6915625
Guyana,"72,950","794,045",918.7136749
Belize,"70,660","412,190",1714.257988
Fiji,"68,820","909,466",756.7077824
Madagascar,"67,827","29,178,077",23.24587738
Sudan,"63,742","45,992,020",13.85936082
Mauritania,"63,665","4,901,981",129.8760644
Cabo Verde,"63,229","567,678",1113.818045
Bhutan,"62,605","787,941",794.539185
Syria,"57,453","19,364,809",29.66876668
Burundi,"53,492","12,624,840",42.37043796
Seychelles,"50,665","99,426",5095.749603
Gabon,"48,981","2,331,533",210.0806637
Andorra,"47,839","77,463",6175.722603
Papua New Guinea,"46,750","9,292,169",50.31118138
Curaçao,"45,986","165,529",2778.123471
Aruba,"43,993","107,609",4088.226821
Tanzania,"42,664","63,298,550",6.740122799
Mayotte,"42,002","286,259",1467.272645
Mauritius,"41,652","1,274,727",326.7523164
Togo,"39,354","8,680,837",45.33433815
Guinea,"38,240","13,865,691",27.57886354
Isle of Man,"38,008","85,732",4433.350441
Bahamas,"37,491","400,516",936.067473
Lesotho,"34,790","2,175,699",159.9026336
Faeroe Islands,"34,658","49,233",7039.587269
Haiti,"34,076","11,680,283",29.17395067
Mali,"32,783","21,473,764",15.26653641
Cayman Islands,"31,472","67,277",4677.973156
Saint Lucia,"29,803","185,113",1609.989574
Benin,"27,989","12,784,726",21.8925302
Somalia,"27,318","16,841,795",16.22036131
Congo,"25,375","5,797,805",43.76656338
Solomon Islands,"24,575","721,159",340.770898
San Marino,"23,427","34,085",6873.111339
Timor-Leste,"23,415","1,369,429",170.9836728
Micronesia,"22,676","117,489",1930.053026
Burkina Faso,"22,025","22,102,838",9.964783708
Liechtenstein,"21,340","38,387",5559.173679
Gibraltar,"20,399","33,704",6052.397342
Grenada,"19,680","113,475",1734.30271
Bermuda,"18,766","61,939",3029.755082
Nicaragua,"18,491","6,779,100",27.27648213
South Sudan,"18,368","11,618,511",15.80925473
Tajikistan,"17,786","9,957,464",17.86197771
Equatorial Guinea,"17,190","1,496,662",114.855592
Tonga,"16,734","107,749",1553.053857
Samoa,"16,087","202,239",795.4449933
Monaco,"16,056","39,783",4035.894729
Dominica,"15,760","72,344",2178.480593
Djibouti,"15,690","1,016,097",154.4143915
