States,Cases_per_10000,latitude,longitude
Putrajaya,29.40,2.926400,101.696400
Kuala Lumpur,17.00,3.131900,101.684100
Melaka,8.40,2.206414,102.246462
Selangor,6.10,3.509247,101.524803
Penang,4.50,5.285153,100.456238
Negeri Sembilan,3.50,2.731813,102.252502
Perlis,2.80,6.443589,100.216599
Perak,1.90,4.693950,101.117577
Kelantan,1.70,6.125397,102.238068
Kedah,1.70,6.155672,100.569649
Terengganu,1.10,4.233242,103.447887
Sarawak,1.10,3.166407,113.035984
Pahang,0.70,3.974341,102.438057
Sabah,0.50,5.420404,116.796783
Johor,0.30,1.937344,103.366585
